,vehicleid,status,rptdatetime,velocity,direction,call_id,geom,marvlis_bayes_id,lat,lon
146,E03,ENROUTE,2012-09-07 00:04:57,0.0,91.0,122510003.0,0101000020E6100000EFE3688EAC9A5EC04E266E15C4E44240,13706986,37.787234,-122.416782
147,E03,ENROUTE,2012-09-07 00:04:57,6.0,72.0,122510003.0,0101000020E6100000EB8EC536A99A5EC03BFC3559A3E44240,13706987,37.786235,-122.416578
148,E03,ENROUTE,2012-09-07 00:04:57,9.0,84.0,122510003.0,0101000020E610000062670A9DD79A5EC0CEFA9463B2E44240,13706988,37.786694,-122.41941
149,E03,ENROUTE,2012-09-07 00:04:57,0.0,0.0,122510003.0,0101000020E610000092EBA694D79A5EC0C39D0B23BDE44240,13706989,37.787022,-122.419408
150,E03,ENROUTE,2012-09-07 00:04:57,10.0,85.0,122510003.0,0101000020E610000019CBF44BC49A5EC002F1BA7EC1E44240,13706990,37.787155,-122.418231
151,RC1,ENROUTE,2012-09-07 00:04:58,50.0,67.0,122500374.0,0101000020E6100000F54A598638965EC0E21E4B1FBAE84240,13706991,37.81818,-122.3472
152,B03,AT SCENE,2012-09-07 00:04:58,60.0,80.0,122500374.0,0101000020E6100000B2F4A10BEA955EC0D42B6519E2E84240,13706992,37.8194,-122.34241
153,54,AT SCENE,2012-09-07 00:04:59,36.0,81.0,122500374.0,0101000020E6100000857CD0B359955EC0DBC4C9FD0EE94240,13706993,37.82077,-122.3336
154,82,ENROUTE,2012-09-07 00:05:01,5.0,78.0,122510003.0,0101000020E610000057B26323109B5EC00DFD135CACE44240,13706994,37.78651,-122.42286
155,82,ENROUTE,2012-09-07 00:05:01,0.0,72.0,122510003.0,0101000020E61000004DF8A57EDE9A5EC06AFB57569AE44240,13706995,37.78596,-122.41983
156,82,ENROUTE,2012-09-07 00:05:01,4.0,81.0,122510003.0,0101000020E6100000E5ED08A7059B5EC05B5F24B4E5E44240,13706996,37.78826,-122.42222
157,82,ENROUTE,2012-09-07 00:05:01,16.0,52.0,122510003.0,0101000020E6100000508D976E129B5EC0BF823463D1E44240,13706997,37.78764,-122.423
158,82,ENROUTE,2012-09-07 00:05:01,5.0,71.0,122510003.0,0101000020E61000006284F068E39A5EC0A2B437F8C2E44240,13706998,37.7872,-122.42013
159,82,ENROUTE,2012-09-07 00:05:01,1.0,83.0,122510003.0,0101000020E61000004D158C4AEA9A5EC0F0F96184F0E44240,13706999,37.78859,-122.42055
160,82,ENROUTE,2012-09-07 00:05:01,4.0,70.0,122510003.0,0101000020E6100000D72FD80DDB9A5EC014AE47E17AE44240,13707000,37.785,-122.41962
161,82,ENROUTE,2012-09-07 00:05:01,19.0,81.0,122510003.0,0101000020E61000006631B1F9B89A5EC0543541D47DE44240,13707001,37.78509,-122.41754
162,82,ENROUTE,2012-09-07 00:05:01,0.0,15.0,122510003.0,0101000020E6100000B3EA73B5159B5EC00DFD135CACE44240,13707002,37.78651,-122.4232
